Date,Open,High,Low,Close,Volume
2017-06-22,196.523,196.955,196.246,196.37,1533577.0857736
2017-06-23,196.494,196.955,196.121,196.715,1428000.8495666
2017-06-26,197.262,197.646,196.601,196.783,1500829.5292352
2017-06-27,196.572,196.84,195.153,195.172,3948059.4783349
2017-06-28,196.131,197.118,195.94,196.927,3265415.0058459
2017-06-29,197.089,197.195,194.118,195.201,5237730.2760668
2017-06-30,196.006,196.293,195.365,195.535,3386637.9227522
2017-07-03,196.466,196.85,195.912,195.987,2001407.5184605
2017-07-05,196.227,196.533,195.478,196.322,2319837.6562577
2017-07-06,195.614,195.698,194.377,194.577,2885807.4835818
2017-07-07,195.057,195.959,194.952,195.785,2439341.4099004
2017-07-10,195.654,196.37,195.515,196.006,2044288.540984
2017-07-11,195.863,196.16,194.827,195.843,1861005.7079839
2017-07-12,196.81,197.502,196.81,197.329,1694062.2282605
2017-07-13,197.406,197.79,197.167,197.646,1687152.1933946
2017-07-14,197.71,198.938,197.599,198.548,1865079.332101
2017-07-17,198.528,198.911,198.441,198.576,1335638.5945864
2017-07-18,198.25,198.749,197.887,198.729,3572450.4711131
2017-07-19,199.017,199.774,198.997,199.774,1425484.6955664
2017-07-20,200.022,200.12,199.37,199.842,1926190.9961276
2017-07-21,199.341,199.706,199.111,199.696,2795539.9372385
2017-07-24,199.6,199.755,199.209,199.62,1451036.3854826
2017-07-25,200.358,200.416,199.926,200.1,1530715.6386664
2017-07-26,200.407,200.416,199.887,200.165,1787557.3784497
2017-07-27,200.558,200.588,198.71,199.936,2081488.3965571
2017-07-28,199.487,199.832,199.092,199.696,2684649.7340016
2017-07-31,200.1,200.165,199.399,199.581,3429492.865736
2017-08-01,200.165,200.184,199.61,200.042,1899705.6586865
2017-08-02,200.174,200.272,199.276,200.148,2145707.6985465
2017-08-03,200.051,200.051,199.497,199.793,1438073.8110196
2017-08-04,200.234,200.416,199.755,200.13,1180810.6258732
2017-08-07,200.194,200.475,200.071,200.455,959502.78066068
2017-08-08,200.204,201.317,199.658,200.051,1209462.651481
2017-08-09,199.331,200.042,199.017,199.955,1742536.7904806
2017-08-10,199.226,199.331,197.128,197.195,3451178.5246719
2017-08-11,197.377,197.97,197.148,197.462,1799209.716833
2017-08-14,198.621,199.6,198.621,199.389,2500145.3353573
2017-08-15,199.755,199.783,199.102,199.409,1487005.2867772
2017-08-16,199.86,200.252,199.341,199.735,1736885.8757965
2017-08-17,199.189,199.447,196.63,196.63,3850610.6699118
2017-08-18,196.466,197.492,195.892,196.256,3055980.6535143
2017-08-21,196.236,196.705,195.584,196.514,1455088.1027863
2017-08-22,197.022,198.661,196.993,198.489,1652885.7644584
2017-08-23,197.655,198.181,197.482,197.81,1661584.8557547
2017-08-24,198.162,198.279,197.158,197.357,1527758.2188529
2017-08-25,198.088,198.641,197.664,197.78,1386313.2267843
2017-08-28,198.279,198.317,197.433,197.839,895324.16275345
2017-08-29,196.611,198.279,196.523,197.999,1583228.3568295
2017-08-30,198.009,199.226,197.848,199.007,1554034.9199755
2017-08-31,199.571,200.407,199.497,200.165,2501279.2737478
2017-09-01,200.568,200.887,200.358,200.501,1582681.7296753
2017-09-05,199.995,200.214,198.108,199.027,2523790.089323
2017-09-06,199.687,200.032,199.189,199.726,1729817.2773286
2017-09-07,200.022,200.022,199.323,199.677,1839972.0375432
2017-09-08,199.409,199.887,199.236,199.37,2154018.7262905
2017-09-11,200.647,201.662,200.637,201.538,1825132.7793958
2017-09-12,201.959,202.295,201.776,202.286,1743111.5835379
2017-09-13,201.997,202.4,201.92,202.4,1311563.0066231
2017-09-14,202.066,202.485,201.949,202.335,2105448.1913638
2017-09-15,202.197,202.66,202.085,202.621,1612157.8687408
2017-09-18,202.947,203.321,202.66,202.976,1501860.1926482
2017-09-19,203.234,203.283,202.947,203.215,1472742.9080505
2017-09-20,203.292,203.379,202.364,203.321,2090427.4196197
2017-09-21,203.176,203.205,202.583,202.773,2145777.5917131
2017-09-22,202.475,202.947,202.447,202.744,1806752.9629252
2017-09-25,202.544,202.9,201.681,202.428,1721196.4246518
2017-09-26,202.792,202.976,202.276,202.505,2638060.2009183
2017-09-27,203.166,203.627,202.325,203.283,2376643.0666722
2017-09-28,203.013,203.58,202.956,203.512,1224672.2390933
2017-09-29,203.494,204.317,203.34,204.261,1950195.6477426
2017-10-02,204.462,205.104,204.374,205.104,2214440.8472847
2017-10-03,205.256,205.592,205.045,205.545,1486787.2618244
2017-10-04,205.467,206.042,205.333,205.803,1137667.7647701
2017-10-05,206.11,207.05,206.032,207.022,1655254.8298539
2017-10-06,206.645,206.848,206.398,206.839,1244265.2757555
